Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Wavu id;Name;Recovery;Image;Video
2,4;h, h;8,20;i22~26;-2;+24a (+15);;"* Balcony Break 
* Combos from 1st hit";bbr;Lili-2,4;Bed Time;;;
3;m;12;i15;-11;-3;;;;Lili-3;;BT;;
3,1;m, m;12,24;i27;-13;+40d (-18);;"* Heat Engager
 
* Heat Dash +5, +36a (+26)

* Balcony Break
* Combos from 1st hit";he bbr;Lili-3,1;Peacock Waltz;;;
3,2;m, h;12,8;i27;-5;+2;+10;"* Combos from 1st hit
* Transition to -2, +5, +14 DEW with F";;Lili-3,2;;;;
3,2,3;m, h, h;12,8,22;i24;-9;+13a (+4);;"* Balcony Break
* Combos from 2nd hit CH
Low crush";bbr js;Lili-3,2,3;Peacock Jive;;;
4;h;16;i12;-4;+7;;;;Lili-4;;;;
1+2;m;26;i12;-12;+20d (+10);;* Balcony Break;bbr;Lili-1+2;Broken Heart;;;
3+4;h,h;30;i23~24 i14~15;-2;+20a (+11);;"* Heat Engager
 
* Heat Dash +5, +62a (+42)

* Homing
* Balcony Break
Low crush";he hom bbr js;Lili-3+4;Black Swan;;;
f+2;h;10;i12;-9;-1;;;;Lili-f+2;;;;
f+2,3;h, m;10,20;i22;-15;+24a (+7);;"* Balcony Break
* Combo from 1st hit with 3?F delay";bbr;Lili-f+2,3;Mars Sword;;;
f+3;m;26;i20;-3;+17a (+8);;"* Homing
* Balcony Break
* Knee";hom bbr kne;Lili-f+3;Circle Knee;;;
f+4;m;23;i17;-9;+7;+57a;* Tornado;trn;Lili-f+4;Bélier Attaque;;;
f+1+2;m;17;i14;-7;+4c;+12c;;;Lili-f+1+2;Kitty Claws;;;
f+3+4;m,M;6,20;i18~20 i11~13;-4;+6d;;"* Floor Break
Low crush";fbr js;Lili-f+3+4;Sundial;;;
f+3+4,3;m,M;6,20;i18~20 i30~33;-8;+23a;;"* On airborne opponent: 
Floor Break
* Combos from 1st hit";fbr;Lili-f+3+4,3;;;;
f+3+4,3,4;m,M, M;6,20,20;i19;-20;+10 (+3);;"* Combos from 1st hit
Low crush";js;Lili-f+3+4,3,4;Garland Kick Combo;as;;
df+1;m;10;i13;-1;+8;;;;Lili-df+1;;;;
df+2;m;15;i16;-11;+31a (+21);;* Transition to -11, +31a (+21) BT with B;;Lili-df+2;Orleans Sword;;;
df+3;m;23;i20;+3c;+8c;+19a;;;Lili-df+3;Submissive Heel;;;
df+4;m;12;i13;-8;-2;+5;* Knee;kne;Lili-df+4;;;;
df+4,4;m, L;12,23;i20;-13;-2;+8;* Combos from 1st hit;;Lili-df+4,4;Dominating Heel;;;
df+3+4;m;14;i24~29;-4;+27a;;Low crush;js;Lili-df+3+4;Backflip;BT;;
df+3+4,3+4;m, m;14,19;i26;-7;+2d;;"* Floor Break
* Combos from 1st hit
Low crush 12~";fbr js12~;Lili-df+3+4,3+4;Backflip Spinning Edge;BT;;
d+1;L;10;i18;-11;+0;;"* Transition to -11, +0 FC with D
High crush";cs;Lili-d+1;;;;
d+1,2;L, h;10,8;i18;-8;+3;+5;"* Combos from 1st hit
* Transition to -5, +3, +5 BT with B";;Lili-d+1,2;;;;
d+1,2,4;L, h, m;10,8,24;i30;-12;+17a (+8);;"* Balcony Break
* Combos from 2nd hit CH";bbr;Lili-d+1,2,4;Heavy Languish;;;
d+2;m;16;i16;-7;+1;;*;;Lili-d+2;;;;
d+2,2;m, h;16,10;i17;-10;-4;-2;* Combos from 1st hit;;Lili-d+2,2;;;;
d+2,2,3;m, h, h;16,10,24;i25;-3;+23a (+14);;"* Balcony Break
* Combos from 2nd hit CH";bbr;Lili-d+2,2,3;Bloody Masquerade Piton;;;
d+2,2,4;m, h, m;16,10,24;i22;-17;+35d (-23);;"* Tornado
* Balcony Break
* Combos from 2nd hit CH";trn bbr;Lili-d+2,2,4;Bloody Masquerade Lance;;;
d+3;L;14;i19;-12;+1;+5c;;;Lili-d+3;Thorn Whip;;;
d+4;l;6;i12;-15;-4;;"* Alternate input FC.4
High crush";cs;Lili-d+4;;;;
d+1+2;m;25;i20;-13;+13d;;"* Balcony Break
Power crush 7~";bbr pc7~;Lili-d+1+2;Barcarolle;;;
d+3+4;m;23;i17;-21;+45a (+35);;;;Lili-d+3+4;Matterhorn Ascension;;;
db+1;sl;5;i10;-5;+6;;"* Alternate input FC.1
High crush";cs;Lili-db+1;;;;
db+2;sl;8;i11;-4;+7;;"* Alternate input FC.2
High crush";cs;Lili-db+2;;;;
db+3;h;22;i19~22;-9~-6;+34a;+46a;"* Balcony Break
High crush 6~19";bbr cs6~19;Lili-db+3;Twist of Fate;;;
db+4;L;20;i30;-24;+76a (+60);;"* Homing
* Instant Tornado
High crush 7~";hom cs7~;Lili-db+4;Edelweiss;;;
db+3+4;L;20;i24;-18;+3d;+33a;High crush 16~;cs16~;Lili-db+3+4;Freesia Thrust;;;
b+1;m;16;i17;-6;+2;+8;* Transition to +0, +8, +14 DEW with F;;Lili-b+1;Élysée Le Bras Allongé;;;
b+1,4;m, m;16,22;i25;-11;+32a (+17);;"* Tornado
* Combos from 1st hit";trn;Lili-b+1,4;Élysée Le Bras Allongé Caracole;;;
b+2;h;15;i13;-11;+0;;;;Lili-b+2;;;;
b+2,1;h, m;15,13;i20;-4;+7;+9;"* Elbow
* Combos from 1st hit
* Transition to -4, +7, +9 BT with F
* Transition to -4, +7, +9 DEW with F";elb;Lili-b+2,1;;;;
b+2,1,1+2;h, m, m;15,13,27;i23;-12;+20a (+10);;"* Balcony Break
* Combos from 2nd hit CH";bbr;Lili-b+2,1,1+2;Heliotrope Corsage;;;
b+3;;;;;;;"* Transitions to RAB
* Transition to DEW with F
* Alternate input b+4
Low crush 12~ (Low crush 10 in heat)";js12~ (js10 in heat);Lili-b+3;Feisty Rabbit;;;
b+1+2;m;28;i23;-12;+29a (-7);;* Balcony Break;bbr;Lili-b+1+2;Dendobrium;;;
b+1+4;m!;50;i63;!;+9a (-17);;"* Balcony Break
Low crush";bbr js;Lili-b+1+4;Piercing Thorn;;;
b+3+4;;;;;;;* Transitions to BT;;Lili-b+3+4;Mirror Image;BT;;
ub+1;m;21;i16;-9;+9d;;;;Lili-ub+1;Shattered Crown;;;
u+3;m;20;i22;-16;+25a (+15);;"* Transition to -13, +28a (+18) DEW with F
* Alternate input ub+3
Low crush";js;Lili-u+3;;;;
u+3,3;m, m;20,15;i28;-12;+5c;;"* Transition to -3, +14c DEW with F
* Combos from 1st hit
* Alternate input ub+3,3
Low crush";js;Lili-u+3,3;;;;
u+3,3,3+4;m, m, m;20,15,25;i27;-8;+13d;;"* Can only be done on hit or block
* On airborne opponent: 
Floor Break
* Combos from 1st hit
* Alternate input ub+3,3,3+4
Low crush";fbr js;Lili-u+3,3,3+4;Moonsault Alstroemeria;;;
u+3+4;m (t);18 (28 );i36;-8;+13d (+39a);;"* Becomes a 28 damage +39a throw when hit at close range
Low crush 5~";js5~;Lili-u+3+4;Divine Step;;;
uf+2;m;21;i20;-10;+15a (+6);;"* Balcony Break
* Alternate input ub+2, u+2";bbr;Lili-uf+2;Stinging Nettle;;;
uf+3;m;13;i15~17;-13~-11;+30a (+20);;"* Alternate input ub+3, u+3
Low crush 9~ fs9~";js9~ fs9~;Lili-uf+3;Capricorn Kick;;;
uf+4;m;18;i25;-12;+1c;;"* Transition to -7, +6c BT with B
Low crush";js;Lili-uf+4;;;;
uf+4,3;m, m;18,30;i24;-9;+41d (-17);+32d (+24);"* Tornado
* Balcony Break
* Combos from 1st hit";trn bbr;Lili-uf+4,3;Sunflower Lance;;;
uf+3+4;m;15;i15~18;-9~-6;+2;;"* Knee
Low crush";kne js;Lili-uf+3+4;Angel Knee;;;
uf+3+4,3;m, h;15,18;i13;-4;+14g (+18g w);+20a (+10);"* On CH: 
Balcony Break
* Combos from 1st hit";bbr;Lili-uf+3+4,3;Angel Knee > Front Kick;;;
uf+3+4,3+4;m, m;15,23;i19;-21;+45a (+35);;* Tornado;trn;Lili-uf+3+4,3+4;Angel Knee Ascension;;;
f,F+2;m;20;i16;-13;+20a;;;;Lili-f,F+2;Allonger Le Bras;;;
f,F+3;m;15;i22;-12;+5c;;"* Transition to -3, +14c DEW with F
Low crush";js;Lili-f,F+3;;;;
f,F+3,3+4;m, m;15,25;i27;-8;+13d;;"* Only comes out on hit or block
* On airborne opponent: 
Floor Break
* Combos from 1st hit
Low crush";fbr js;Lili-f,F+3,3+4;Alstroemeria;;;
f,F+4;L;23;i22;-12;+4;+4;;;Lili-f,F+4;Root of Evil;;;
f,F+4,B;L;23;;-6;+10g;+10;;;Lili-f,F+4,B;;;;
f,F+1+2;m;28;i18;-9;+17a (+8);;"* Homing
* Balcony Break
* 1 spin (i10 delay + i18)
* Hold to power up:
** 2 spins (i33 delay + i18): +12 on block, 11 chip damage
** 3 spins (i56 delay + i18): Unblockable, 50 damage";hom bbr;Lili-f,F+1+2;Lashing Iris;;;
f,F+3+4;m;30;i19;-2 / +4 H +7wc;+4a (-5);;"* Balcony Break
* Chip damage on block [9]
* Powers up in Heat: 36 damage, +4 ob, Wall Crush +7g, 16 Chip, +18a (-8) oh
* Partially consumes remaining Heat time
Low crush";bbr chp js;Lili-f,F+3+4;Piercing Thorn;;;
qcf;;;;;;;"* Transitions to Dew Glide
* Transition to Crouch with d,DF
* Transition to RAB with b+3 or b+4";;Lili-qcf;Dew Glide;;;
uf,n,4;m;20;i23~25;-13~-11;+32a (+22);;"*
Low crush";js;Lili-uf,n,4;Delayed Rising Toe Kick;;;
f,f,F+3;m;30;i23;+3;+20a (+10);;"* Balcony Break
* Chip damage on block
* Alternate input wr3
Low crush";bbr chp js;Lili-f,f,F+3;Sabre Slash;;;
ws1;m;10;i13;-11;+0;;;;Lili-ws1;;;;
ws1,2;m, h;10,16;i22;-3;+8;;"* Combos from 1st hit
* Transition to -1, +10g DEW with F";;Lili-ws1,2;;;;
ws1,2,4;m, h, L;10,16,20;i22;-14;+12a;+43a;"* Combos from 2nd hit CH
High crush 12~";cs12~;Lili-ws1,2,4;Sullen Daisy;;;
ws2;m;17;i16;-12;+39a (+29);;* Transition to -12, +39a (+29) BT with B;;Lili-ws2;Delicate Uprising;;;
ws3;m;25;i15;-21;+62a (+46);;"* Instant 
Tornado
Low crush 12~";trn js12~;Lili-ws3;;;;
ws3,4;m, M;25,25;i44;+4c;+26d;;"* Floor Break
* Combos from 1st hit
Low crush 27~";fbr js27~;Lili-ws3,4;Honeysuckle;;;
ws4;m;18;i11;-9;+20a (+13);;alternate input: DEW.4;;Lili-ws4;Cane Smash;;;
ss3;M;20;i16;-9;+35d (+27);;* Balcony Break;bbr;Lili-ss3;Stunning Toe Kick;;;
ss4;m;18;i20;-2;+4;+11g;"* Transition to -13, -7, +0 RAB with b+3 or b+4
High crush 6~11?";cs6~11?;Lili-ss4;Demilune;BT;;
ss1+2;m;21;i19;+0;+25a (+16);+64a;* Balcony Break;bbr;Lili-ss1+2;Minuet;;;
FC.1;sl;5;i10;-5;+6;;"* Alternate input db+1
High crush";cs;Lili-FC.1;;;;
FC.2;sl;8;i11;-4;+7;;"* Alternate input db+2
High crush";cs;Lili-FC.2;;;;
FC.3;L;10;i16;-17;-6;;High crush;cs;Lili-FC.3;;;;
FC.4;l;6;i12;-15;-4;;"* Alternate input d+4
High crush";cs;Lili-FC.4;;;;
FC.df+1;m;25;i14;-6;+19a (+2);+34d (+26);* Balcony Break;bbr;Lili-FC.df+1;Slashing Vine;;;
FC.df+3;L;19;i23;-18;-2;+26a;"alternate input: d,DF+3
High crush 10~46?";cs10~46?;Lili-FC.df+3;Horizon Slide;r28?;;
BT.1;h;8;i8;-8;+3;;;;Lili-BT.1;;;;
BT.1,2;h, m;8,20;i24;-13;+16a (-1);;"* Tornado
* Balcony Break
* Combo from 1st hit with 4?F delay
Low crush 27~";trn bbr js27~;Lili-BT.1,2;Fierbois Sword;;;
BT.1,4;h, h;8,21;i22;-5;+10g;;"* Heat Engager

* Heat Dash +5, +34d
 
* Balcony Break
* Combo from 1st hit with 4?F delay";he bbr;Lili-BT.1,4;Scorpio's Sting;;;
BT.2;m;22;i14;-13;+8;;"* Balcony Break
Power crush 6~";bbr pc6~;Lili-BT.2;Rompez Fleuret;;;
BT.3;m;12;i14;-10;+0;;"* Homing
High crush 4~";hom cs4~;Lili-BT.3;;;;
BT.3,4;m, m;12,20;i30;-12;+39d (+31);;"* Balcony Break
* Combos from 1st hit
Low crush 26~";bbr js26~;Lili-BT.3,4;Arc-en-Ciel;;;
BT.4;m,m;10,20;i26~28 i21~22;-11;+11d;;"* 2-hit move, 2nd hit only combos on CH
Low crush 13~28, Low crush 1~?";js13~28 js1~?;Lili-BT.4;Shears;BT;;
BT.4,3+4;m,m, m;10,20,12;i28;-10;+4d;;"* Floor Break
* Combos from 2nd hit
Low crush 14~";fbr js14~;Lili-BT.4,3+4;Shears > Spinning Edge;BT;;
BT.1+2;m,m;5,20;i13~14 i3~4;-11c;+16a;;;;Lili-BT.1+2;Tempest;;;
BT.3+4;m;24;i29;+2;+7c;;"* Chip on block [9]
Low crush 5~";chp js5~;Lili-BT.3+4;Twist Backflip;BT;;
BT.b+3;;;;;;;"* Transitions to RAB
* Transition to DEW with F
* Alternate input b+4
Low crush 10~";js10~;Lili-BT.b+3;Feisty Rabbit;;;
BT.d+2;l;17;i16;-12;+5c;+14d;High crush 4~;cs4~;Lili-BT.d+2;Petal Sweep;;;
BT.d+3;L;8;i17;-17;-1;+2;High crush 4~;cs4~;Lili-BT.d+3;;;;
BT.d+3,4;L, m;8,20;i22;-13;+27a (+12);;* Combos from 1st hit CH;;Lili-BT.d+3,4;Autumn Wind;;;
BT.d+4;L;9;i14;-11;+1;;High crush 4~;cs4~;Lili-BT.d+4;Graceful Low Kick;;;
BT.d+3+4;L;25;i20;-26;+19d;;"BT on hit only
High crush 8~";cs8~;Lili-BT.d+3+4;Orchid Ring;;;
BT.d+3+4,F;L;25;;-26;+18d;;High crush;cs;Lili-BT.d+3+4,F;;;;
DEW.1;m;12;i15;-9;-4;+2;;;Lili-DEW.1;Rose;;;
DEW.1,2;m, m;12,20;i23;-14;+20a (+10);+54a;"* Balcony Break
* Combos from 1st hit";bbr;Lili-DEW.1,2;Rose Pique;;;
DEW.1,2~B;m;12;;-14~-15;-9~-8;-3~-2;;;Lili-DEW.1,2~B;;BT;;
DEW.1,4;m, m;12,30;i25~31;-9;+2a (-7);;"* Balcony Break
* Combos from 1st hit CH
* Chip damage on block [9]
* Partially consumes remaining Heat time
Low crush 17~";bbr chp js17~;Lili-DEW.1,4;Rose Piercing Thorn;;;
DEW.2;m;13;i14;-9;+0;;* Homing;hom;Lili-DEW.2;;;;
DEW.2,1;m, m;13,20;i22;-13;+17d;;"* Heat Engager

* Heat Dash +67a (+50)

* Balcony Break
* Combo from 1st hit with 8?F delay
* Can be delayed up to 14?F
* Floor breaks floating opponent";he bbr;Lili-DEW.2,1;Nocturne;;;
DEW.3;M;28;i17;-11;+20a (+3);;"* Tornado
* Balcony Break";trn bbr;Lili-DEW.3;Platinum Grace;;;
DEW.1+2;m;28;i16;-11;+17cg;;"* Tornado
* Balcony Break
Power crush 6~";trn bbr pc6~;Lili-DEW.1+2;Angel Heart;;;
DEW.3+4;h;6,20;i12~14, i5~6;+6;+17g;;"* Balcony Break
* Transition to +0, +11 RAB with b+3 or b+4
Low crush 12~?, Low crush 17?~?";bbr js12~? js17?~?;Lili-DEW.3+4;Cloisonne;;;
RAB.2;m;20;i20;-9;+39d (-19);;"* Heat Engager

* Heat Dash +5, +36a (+26) 

* Balcony Break
* Powered up during Heat: 24 damage
* Partially consumes remaining Heat Time";he bbr;Lili-b+3,2;Rabbit Song;;;
RAB.3;L;20;i20;-13;+3c / +24a H;+70a (+54);"* Homing
* Powered up during Heat: KND on normal hit
* Partially consumes remaining Heat Time
High crush 6~";hom cs6~;Lili-b+3,3;Rabbit Dance;FC;;
RAB.4;m;24 (36);i23;-2 / +4 H +9wc;+4a (-5);;"* Balcony Break
* Powered up during Heat: 
36 damage, +4 ob, Wall Crush +9g
* Partially consumes remaining Heat Time
Low crush 15~";bbr js15~;Lili-b+3,4;Rabbit Piercing Thorn;;;
(During Enemy wall stun) 1+3;t;39;i12;!;+0d;;"* Wall throw (Unbreakable)
* Alternate input 2+4, uf+1+2";;Lili-(During Enemy wall stun) 1+3;Larkspur;;;
1+3;t;35;i12;-3;;;"* Throw break 1 or 2
* Floor Break";fbr;Lili-1+3;Kiss of Devotion;;;
2+4;t;35;i12;-3;;;"* Throw break 1 or 2
* Side swap";;Lili-2+4;Femme Fatale;;;
Back Throw;t;60;i12;!;+1d;;Unbreakable;;Lili-Back throw;Ravaging Beauty;;;
Left Throw;t;42;i12;-3;+0d;;Throw break 1;;Lili-Left throw;Soleil;;;
Right Throw;t;43;i12;-3;+1d;;Throw break 2;;Lili-Right throw;Monaco Mixer;;;
b+1+3;t;25;;;+1d;;"* Punch parry (high and mid)
* Side swap
Parry state 5~15";ps5~15;Lili-b+1+3_b+2+4;Attack Reversal;;;
uf+1+2;t;40;i12;-3;+1;;* Throw break 1+2;;Lili-uf+1+2;Rafflesia;;;
