Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Wavu id;Name;Recovery;Image;Video
d+3+4;l,h;5,20;i14;-25;+30a (+20);;"* Block frame is blocked 1st attack
* -6F upon 2nd block
Low crush 5~";js5~;Asuka-d+3+4;Double Lift Kicks;;;
db+1;m;13;i14;-10;+7;;High crush 6~;cs6~;Asuka-db+1;Swallow Slice;;;
db+1,2;m,h;13,20;i26~27;-9;+22a (+13);;"* Heat Engager

* Balcony Break
* Gain Naniwa Gusto on Heat activation
* Combo from 1st hit
* Can be delayed 9F
* Combo can be delayed 9F from hit";he bbr;Asuka-db+1,2;Swallow Vortex;;;
db+1,4;m,m;13,25;i28~29;-15;+16a (+9);;"Tornado
Low crush";trn js;Asuka-db+1,4;Swallow Torrent;;;
db+2;m;22;i20;-11;+32a (+22);;"Tornado
High crush 3~";trn cs3~;Asuka-db+2;Funeral Palm;;;
db+3;l;17;i20;-12;+4c;+14g;;;Asuka-db+3;Enchanted Circle;;;
db+4;l;14;i21;-11;+0;+3;"Cancel to FC with input D
High crush 6~";cs6~;Asuka-db+4;;;;
db+4,4;l,l;14,15;i31~33;-7;+4;+35d;"Cancel to FC with input D
High crush";cs;Asuka-db+4,4;;;;
db+4,4,4;l,l,l;14,15,16;i31~33;-7;+4;+35d;"Cancel to FC with input D
High crush";cs;Asuka-db+4,4,4;Leg Cutter;;;
db+1+2;m,m;10,20;i42,i3;+10;+18a (+9);;"* Balcony Break
*
Wall Crush  +25g on block 


* Parries lows
Parry state";bbr wc ps;Asuka-db+1+2;Raging Storm;;;
b+1;l(,th);17(,22);i29;-10;+6;Th;"* Connect to Sumiregari upon CH
* Damage () is Throw bonus
* Can be cancelled into FC with input D
High crush 6~";cs6~;Asuka-b+1;Violet;29 FC;;
b+1+3;;25;;-6;;;"* Does 25 + 50% of reversed attack as damage
* Opp. Position on hit: Reverse Pos Foot-sd. Face-up
* Reverses limb-based h/m attacks
Parry state 3~12";ps3~12;Asuka-b+1+3;Attack Reversal;;;
b+1+3*;;25;;-6;;;"* Does 25 + 50% of reversed attack as damage
* Opp. Position on hit: Reverse Pos Foot-sd. Face-up
* Reverses limb-based h/m attacks
Parry state 3~54";ps3~54;Asuka-b+1+3*;Attack Reversal (Hold);;;
b+2;m;12;i15;-4c;+1c;;;;Asuka-b+2;Swallow Mallet;;;
b+2,1;m,m;12,14;;-7;+4;;"* Combo from 1st CH
* Link to attack from Lunging Mist Thrust ()";;Asuka-b+2,1;Swallow Mallet Lunging Mist Thrust;;;
b+2,4;m,l;12,14;;-11;+0;+3;"* Link to attack from Leg Cutter ()
* Can be cancelled with input D
High crush";cs;Asuka-b+2,4;Swallow Mallet Leg Cutter;;;
b+2,1+2;m,h;12,7;i36;-9;+2;;"* Jails
* Combo from 1st hit
* Can be delayed 12F
* Combo can be delayed 9F from CH
* Can be cancelled with input D";;Asuka-b+2,1+2;;;;
b+2,1+2,4;m,h,m;12,7,20;;-13;+18a (+9);;* Combo from 2nd CH;;Asuka-b+2,1+2,4;Swallow Mallet Combo;;;
b+3;m;15;i16;-19;+22a (+12);;Low crush 10~;js10~;Asuka-b+3;Dragon Wheel Kick;38;;File:Asuka_b+3.mp4
b+3,2;m,m;15,20;;-20;+33a (+23);;"* Interruption 23F after 1st block
* Can be cancelled with input D
* on hit, gain NWG with input 1";;Asuka-b+3,2;Dragon Wheel Kick Demon Slayer;;;File:Asuka_b+3,2.mp4
b+3,4;m,l;15,14;;-11;+0;+3;"* Link to attack from Leg Cutter ()
* Can be cancelled into FC with input D
High crush";cs;Asuka-b+3,4;Dragon Wheel Leg Cutter;;;File:Asuka_b+3,4.mp4
b+4;m;17;i15;-7;+8;+56a;;;Asuka-b+4;;30;;
b+4,2;m,m;17,12;;-12;+4c;;* Can be delayed 15F;;Asuka-b+4,2;;;;
b+4,2,3;m,m,m;17,12,21;;-16;+15a (-2);;"* Combo from 2nd hit
* Can be delayed 10F
* Combo can be delayed 10F from hit
* on hit, can gain NWG with input 1";;Asuka-b+4,2,3;Tsuyababuki;;;
b+1+4;h,l;15,8;i12;-8;+5;+7;Combo from 1st hit;;Asuka-b+1+4;;;;
b+1+4,3;h,l,l;15,8,18;;-13;-2;+16d;Combo from 2nd CH;;Asuka-b+1+4,3;Reverse Narcissus;;;
b+1+4,4;h,l,m;15,8,23;;-14;+5b;+5b;* Combo from 2nd CH;;Asuka-b+1+4,4;Narcissus;;;
b+2+3;m;23;i24;-9;+6;;"Sabaki absorbs kicks
Parry state 4~15";ps4~15;Asuka-b+2+3;Azalea;;;
u+1+2;m;20;i31~i32;-13~-12;+19d;;"* Chip damage when guarded
Low crush";chp js;Asuka-u+1+2;Sumiyoshi Plunge;;;
uf+2;h(,th);20(,25);i14;-7;Th;Th;Damage () is Throw bonus;;Asuka-uf+2;Rangetsu;28;;
uf+3;m;17;i20~21;-3;+8;+33a;Low crush 11~;js11~;Asuka-uf+3;Iwato;22;;
uf+4;m;25;i20;-13;+31a (+21);;Low crush 9~;js9~;Asuka-uf+4;Night Sky;;;
1+2+3+4;;;;;;;"* Cannot block for 5 seconds
* CH state for 5 seconds";;Asuka-1+2+3+4;Ki Charge;r55;;
1+2+3+4,1+2;,t(m);,5,5;i61;-6;;;"* Break: 1+2
* Opp. Position on break: Reverse Pos.
* Opp. Position on hit: Foot sd. FU
* Left slap is auto-attack
* Throw breaks 16f later (1f)";;Asuka-1+2+3+4,1+2;Naniwa Ultimate Tackle;;;
1+2+3+4,1+2,1,2,1,2;,t(m);,5,5,5,5,5,10;;;;;"* Break: none
* Opp. Position on break:
* Opp. Position on hit: Foot sd. FU";;Asuka-1+2+3+4,1+2,1,2,1,2;Eternal Punishment;;;
(During Leg Cutter),3;h;21;i17;-3;+39a (+29);;CH combo from Leg Cutter;;Asuka-(During Leg Cutter) 3;Kariashi Shiranui;;;
(During Leg Cutter),1+4;sl,h;5,8;i22,i17;-19;+9;;"*Jails
* Link to attack to White Heron ()
* Block frame is blocked 1st attack
* -3F upon 2nd block";;Asuka-(During Leg Cutter),1+4;Kariashi Hakuro;;;
f,F+1;m;30;i23;+5;+14;;;;Asuka-f,F+1;Burning Lantern;32;;
f,F+2;m;16;i15;-13;-3;;;;Asuka-f,F+2;;;;
f,F+2,1;m,h;16,21;;-5;+45a (-13);;"* Combo from 1st hit
* Can be delayed 13F
* Combo can be delayed 8F from hit
* Combo can be delayed 11F from CH";;Asuka-f,F+2,1;Hiboko no Kagami;;;
f,F+2,3;m,m;16,22;;-8;+15d;;"* Combo from 1st CH
* Can be delayed 13F
* Combo can be delayed 5F from CH";;Asuka-f,F+2,3;Yata Kagami;;;
f,F+2,1+2;m,m,sp;16,25;;-13;+23a (+13);;"* Balcony Break
* Gain Naniwa Gusto on hit, adv. changes to +0 (-10)";bbr;Asuka-f,F+2,1+2;Higata no Kagami;;;
f,F+3;m;23;i20;-9;+11g;+35a;"* Balcony Break
* Homing";bbr hom;Asuka-f,F+3;Matoi Hiragi;? FC;;
f,F+4;h;28;i20;-3;+66a (+46);;"* Balcony Break
* Causes Strong Aerial Tailspin
Low crush 6~";bbr js6~;Asuka-f,F+4;Leaping Spin Kick;;;
f,F+1+2;m;20;i19;-6;+29a (+14);+68a (+52);"* Chip damage when guarded
* Tornado";chp trn;Asuka-f,F+1+2;Tenjin Upward Strike;;;
f,f,F+3;m;32;i24~28;+3~+7;+16a (+7);;"* Chip damage when guarded
* Alternate input: ub,b+3
Low crush 3~";chp js3~;Asuka-f,f,F+3;Ame-no-Uzume;;;
f,f,F+1+2;h;30;i17;+4;+32a (+6);+67a (+51);"* Chip damage when guarded
* Homing";chp hom;Asuka-f,f,F+1+2;Aizen Swing;;;
ws1;m;12;i14;-7;+4;;;;Asuka-ws1;;;;
ws1,4;m,h;12,20;;-8;+37a (+29);;"* Combo from 1st hit
* Can be delayed 7F";;Asuka-ws1,4;Shikeitai;;;
ws2;m;18;i13;-8;+8;;;;Asuka-ws2;;;;
ws2,1;mh;18,10;;-2;+9;;"* Combo from 1st hit
* Continuation into ten string";;Asuka-ws2,1;;;;
ws2,1+2;mh,th;18,4;;;Th;;"* Combo from 1st hit
* Link to attack from Destablilizer (f+1+3 or f+2+4)";;Asuka-ws2,1+2;Kohaku;;;
ws3;m;20;i18;-16;[[Asuka_combos#Staples+35a (+25)]];;"Tornado
Low crush 18~";trn js18~;Asuka-ws3;Moon Scent;;;
ws4;m;15;i11;-3;+8;;;;Asuka-ws4;Toe Smash;;;
ws1+2;m;20;i21;-2;+13g;+63a;"* Wall Crush  +25g on hit


* Crumple state 17F upon CH
* Cancel into FC with input D";wc;Asuka-ws1+2;Sudare Nagashi;r27;;
SS.2;m;23;i13;-13;+13a (+4);;"* Heat Engager

* Gain Naniwa Gusto on Heat activation";he;Asuka-SS.2;Mist Palm Thrust;;;
SS.4;h;18;i17;-6;+7;+30a;Meaty 2F;;Asuka-SS.4;Camellia;25;;
FC.3+4;mm;10,10;i21;-6;+5c;+5c;Low crush 13~;js13~;Asuka-FC.3+4;;;;
FC.df+2;l;10;i16;-11;+0;+25g;"* Crumple State 17F upon CH
High crush";cs;Asuka-FC.df+2;Grace;? FC;;
FC.df+3;m;20;i17;-9;+34a (+26);;Balcony Break;bbr;Asuka-FC.df+3;Minazuki;;;
(Back to wall).b,b,UB;m;21;i39;+4c;+22a;;fs5~13;fs5~13;Asuka-(Back to wall).b,b,UB;[[Wall Jump Attack]];;;
NWG.f,F+1+2;m;24;i19;+2;+67a (+51);;"* Chip damage when guarded
* Consumes Naniwa Gusto
* During Heat, remaining Heat is consumed
* Tornado";chp trn;Asuka-NWG.f,F+1+2;Tenjin Festival Upward Strike;;;
NWG.f,f,F+1+2;h;36;i17;+11g;+66a (+50);;"* Balcony Break
* Chip damage when guarded
* Consumes Naniwa Gusto
* During Heat, remaining Heat is consumed
* Homing";bbr chp hom;Asuka-NWG.f,f,F+1+2;Aizen Festival Swing;;;
NWG.u+1+2;m;24;i31~i32;+8~+9;KDN;;"* Chip damage when guarded
* Consumes Naniwa Gusto
* During Heat, remaining Heat is consumed
Low crush";chp js;Asuka-NWG.u+1+2;Sumiyoshi Festival Plunge;;;
hFC.1;sl;5;i10;-5;+6;;"* Transition to Standing with f
High crush 1~";cs1~;Asuka-hFC.1;Crouch jab;FC;;
hFC.2;sl;8;i11;-4;+7;;;;Asuka-hFC.2;Crouch Straight;;;
hFC.3;l;10;i16;-17;-6;;;;Asuka-hFC.3;Crouch Spin Kick;;;
hFC.4;l;6;i12;-15;-4;;;;Asuka-hFC.4;Crouch Shin Kick;;;
1+3;t;35;i12~14;-2;+0d;;"* Throw break 1 or 2
* Opp. Position on break: CCW
* Opp. Position on hit: Reverse Pos., F Sd. FU";;Asuka-1+3;Aiki Nage;r25;;
2+4;t;35;i12~14;-3;+0d;;"* Throw break 1 or 2
* Opp. Position on break: CCW
* Opp. Position on hit: Head Sd. FD";;Asuka-2+4;Katanuki;r25;;
Back throw;t;50;;;+0d;;"* Throw break: none
* Opp. Position on break: -
* Opp. Position on hit: Head Sd. Face D";;Asuka-Back throw;Twisted Limbs;;;
FC.db+1+2;t(h);15,15,15;i11;-6;+56a (+28);;"* Break: 1+2
* Opp. Position on break: Reverse Pos.
* Opp. Position on hit: Reverse Pos. Foot sd. FD
* 2nd dmg is on landing
* 3rd dmg is non-ukemi bonus";;Asuka-FC.db+1+2;Falling Rain;;;
Left throw;t;40;;-3;-3d;;"* Throw break 1
* Opp. Position on break: CCW
* Opp. Position on hit: F Sd. FD";;Asuka-Left Throw;Cloud Taste;;;
Right throw;t;40;;-3;+0d;;"* Throw break 2
* Opp. Position on break: 
* Opp. Position on hit: FD F Sd.";;Asuka-Right Throw;Wind Wheel;;;
df+2+3;t(h);40;i12;-6;;;"* Break: 2
* Opp. Position on break:
* Opp. Position on hit: CCW. Head sd. FU";;Asuka-df+2+3;White Mountain;;;
f+1+3;t(h);0;i19;;+8;;"* Break: none
* Opp. Position on break: 
* Opp. Position on hit:";;Asuka-f+1+3;Destabilizer;r20;;
f+1+3,2;t(h),m;0,20;i19;-3;+8a/HE;;"* Heat Engager

* Gain Naniwa Gusto on Heat Activation
* Chip on block";he chp;Asuka-Destabilizer.2;Compulsory Reform;;;
f+1+3,4;t(h),l;0,19;i19;-14;+11d;;;;Asuka-Destabilizer.4;Inescapable Tirade;;;
uf+1+2;t(h);40;i12;-3;;;"* Break: 1+2
* Opp. Position on break: Reverse Pos.
* Opp. Position on hit: Head sd. FU";;Asuka-uf+1+2;Cherry Blossom;;;
